behavior_window_id,run_key,feature_set,feature_family,fold_id,seed,date,window_start_date,window_end_date,window_length,primitive_id,primitive_type,reward_daily_return,reward_benchmark_return,reward_excess_return_vs_benchmark,same_day_excess_return_vs_benchmark,current_drawdown,regime_label_exogenous,market_regime,analysis_regime,action_l1_wmean,action_change_l1_wmean,action_jitter_l2_wmean,turnover_wmean,portfolio_hhi_wmean,portfolio_max_weight_wmean,portfolio_benchmark_deviation_l1_wmean,portfolio_sector_max_weight_wmean,vix_wmean,sp500_trend_wmean
base_macro__fold_09__seed999__w0025,base_macro__fold_09__seed999,base_macro,macro_context,fold_09,999,2020-02-11,2020-02-05,2020-02-11,5,primitive_01,mixed_primitive,0.0089584839565814,0.0060815058416024,0.002876978114979,0.0046850447574919,0.0,unknown,0.0,market_regime_0,19.6,6.0,5.481252817158056,3.0,0.0938245909505034,0.1536055910416868,1.1475003912670387,0.3111315653418599,15.160000038146972,0.1064782513854936
base_macro__fold_09__seed999__w0026,base_macro__fold_09__seed999,base_macro,macro_context,fold_09,999,2020-02-12,2020-02-06,2020-02-12,5,primitive_01,mixed_primitive,-0.0041797342351261,-0.0033028194389776,-0.0008769147961485,0.002876978114979,0.0,unknown,0.0,market_regime_0,18.2,3.8,5.0094730284499205,1.9,0.094022996284002,0.1540195881254016,1.1491345207952528,0.3103992751456245,14.878000068664551,0.1086707915465576
base_macro__fold_09__seed999__w0027,base_macro__fold_09__seed999,base_macro,macro_context,fold_09,999,2020-02-13,2020-02-07,2020-02-13,5,primitive_01,mixed_primitive,-0.00306972588574,0.0001807076679625,-0.0032504335537026,-0.0008769147961485,-0.0041797342351262,unknown,0.0,market_regime_0,17.0,4.0,3.733018803740987,2.0,0.0942340063672121,0.1547390313276996,1.1504949532474762,0.309760212594394,14.715999984741211,0.1097583152434979
base_macro__fold_09__seed999__w0028,base_macro__fold_09__seed999,base_macro,macro_context,fold_09,999,2020-02-14,2020-02-10,2020-02-14,5,primitive_01,mixed_primitive,-0.0019051847612255,-0.0046509875861997,0.0027458028249741,-0.0032504335537026,-0.0072366294824892,unknown,0.0,market_regime_0,15.8,4.4,3.702149377703582,2.2,0.0944268114568103,0.1553495669612507,1.1517425365386185,0.3092964193797329,14.357999992370605,0.1124312895007807
base_macro__fold_09__seed999__w0029,base_macro__fold_09__seed999,base_macro,macro_context,fold_09,999,2020-02-18,2020-02-11,2020-02-18,5,primitive_01,mixed_primitive,0.007548093872761,0.0041427852634174,0.0034053086093435,0.0027458028249741,-0.0091280271275022,unknown,0.0,market_regime_0,13.8,4.0,3.52195328042214,2.0,0.0947320228350953,0.1567781727389504,1.1529051738926417,0.3098161788917633,14.315999984741213,0.112830167021624
base_macro__fold_09__seed999__w0030,base_macro__fold_09__seed999,base_macro,macro_context,fold_09,999,2020-02-19,2020-02-12,2020-02-19,5,primitive_01,mixed_primitive,-0.0051429425113346,-0.0033089633006451,-0.0018339792106894,0.0034053086093435,-0.0016488324603727,unknown,0.0,market_regime_0,12.0,4.2,3.4586725223000365,2.1,0.0949910527772902,0.1580708556783112,1.1535236300317964,0.3101129194036137,14.15599994659424,0.1138913822136228
base_macro__fold_09__seed999__w0031,base_macro__fold_09__seed999,base_macro,macro_context,fold_09,999,2020-02-20,2020-02-13,2020-02-20,5,primitive_01,mixed_primitive,-0.0100892383511825,-0.0076682198707391,-0.0024210184804433,-0.0018339792106894,-0.0067832951211529,unknown,0.0,market_regime_0,10.6,3.8,3.7219974803711167,1.9,0.0950499990688778,0.1581451186038368,1.1536715913202449,0.3099985793338688,14.520000076293943,0.1126674309966682
base_macro__fold_09__seed999__w0032,base_macro__fold_09__seed999,base_macro,macro_context,fold_09,999,2020-02-21,2020-02-14,2020-02-21,5,primitive_01,mixed_primitive,-0.0363907065543481,-0.031627944737143,-0.0047627618172051,-0.0024210184804433,-0.0168040951910516,unknown,0.0,market_regime_0,9.4,4.0,3.679313127314439,2.0,0.0951390241770858,0.1584691754856638,1.153694522622317,0.3107276362853629,15.1060001373291,0.1094662196783329
base_macro__fold_09__seed999__w0033,base_macro__fold_09__seed999,base_macro,macro_context,fold_09,999,2020-02-24,2020-02-18,2020-02-24,5,primitive_01,mixed_primitive,-0.0346905495968137,-0.0288110863216011,-0.0058794632752125,-0.0047627618172051,-0.052583288848391,unknown,0.0,market_regime_0,8.2,3.2,3.918637383988898,1.6,0.0950599790949505,0.1576624892605031,1.1534122227101258,0.3106651206958503,17.376000213623048,0.0985461498863068
base_macro__fold_09__seed999__w0034,base_macro__fold_09__seed999,base_macro,macro_context,fold_09,999,2020-02-25,2020-02-19,2020-02-25,5,primitive_01,mixed_primitive,-0.0026806979176967,-0.0052899642354101,0.0026092663177133,-0.0058794632752125,-0.0854496952554458,unknown,0.0,market_regime_0,7.0,2.8,3.3887314298269766,1.4,0.0948313474631518,0.1559009392891049,1.152899118655705,0.3099952013946365,19.980000305175786,0.08193647474313
