run_key,regime_label_exogenous,fold_id,seed,feature_set,feature_family,is_negative_control,selection_rule,selected_model_type,n_days,mean_daily_return,daily_volatility,volatility,sharpe,max_drawdown,turnover,hit_rate,excess_return_vs_benchmark,insufficient_days_for_sharpe
base_macro_gru__fold_10__seed42,unknown,fold_10,42,base_macro_gru,negative_control_gru,True,checkpoint_robust_score,checkpoint,59,0.0011272155285374753,0.01197314781303902,0.19006782914350875,1.4945102202275826,-0.09978226346433161,14.864406779661017,0.559322033898305,0.00020796816934159828,False
base_macro_gru__fold_10__seed999,bear_high_vol,fold_10,999,base_macro_gru,negative_control_gru,True,checkpoint_robust_score,checkpoint,5,0.0033407127539453853,0.010015495433909323,0.15899106105136207,,-0.011923269705143902,1.0,0.6,7.675696795185171e-05,True
base_macro_gru__fold_10__seed999,unknown,fold_10,999,base_macro_gru,negative_control_gru,True,checkpoint_robust_score,checkpoint,59,0.0012184272061797985,0.012776322656788098,0.20281783451868807,1.5138888386515024,-0.09713191263013154,12.11864406779661,0.559322033898305,0.0002991798469839215,False
base_macro_gru__fold_11__seed123,bull_low_vol,fold_11,123,base_macro_gru,negative_control_gru,True,checkpoint_robust_score,checkpoint,3,0.0005618344348719365,0.0033134829431381825,0.05259991104598803,,-0.0026538126092939818,0.0,0.3333333333333333,0.0010691003208428448,True
base_macro_gru__fold_11__seed123,unknown,fold_11,123,base_macro_gru,negative_control_gru,True,checkpoint_robust_score,checkpoint,59,0.0017473678183405098,0.01018301352271679,0.16165032826989842,2.724007398776223,-0.04761319185797985,12.711864406779661,0.6101694915254238,0.000336824890497474,False
base_macro_gru__fold_11__seed42,bull_low_vol,fold_11,42,base_macro_gru,negative_control_gru,True,checkpoint_robust_score,checkpoint,3,0.0001740093235555277,0.0035629258305439125,0.05655969412432471,,-0.000438215532603925,0.0,0.3333333333333333,0.000681275209526436,True
base_macro_gru__fold_11__seed42,unknown,fold_11,42,base_macro_gru,negative_control_gru,True,checkpoint_robust_score,checkpoint,59,0.0012741986055247597,0.008925727339206544,0.14169152885946465,2.266176751545376,-0.03895349606526477,14.322033898305085,0.6271186440677966,-0.00013634432231827623,False
base_macro_gru__fold_11__seed999,bull_low_vol,fold_11,999,base_macro_gru,negative_control_gru,True,checkpoint_robust_score,checkpoint,3,0.0014875495868530801,0.003683352929903735,0.05847141506043845,,-0.0024668707976718274,0.0,0.6666666666666666,0.0019948154728239883,True
base_macro_gru__fold_11__seed999,unknown,fold_11,999,base_macro_gru,negative_control_gru,True,checkpoint_robust_score,checkpoint,59,0.0016541179959836385,0.011799329839655018,0.18730855435770485,2.2254068236084836,-0.05025686631106896,8.474576271186441,0.6101694915254238,0.0002435750681406025,False
base_macro_gru__fold_12__seed123,bear_high_vol,fold_12,123,base_macro_gru,negative_control_gru,True,checkpoint_robust_score,checkpoint,4,-0.003952566387852241,0.014476019338421695,0.22979968286175342,,-0.012213691900997747,0.0,0.5,-0.001477564510866568,True
base_macro_gru__fold_12__seed123,unknown,fold_12,123,base_macro_gru,negative_control_gru,True,checkpoint_robust_score,checkpoint,59,0.00036098923166050424,0.0075267028333566455,0.11948270333608149,0.7613594590554941,-0.047440896928021115,9.322033898305085,0.5084745762711864,0.00028784068112765,False
base_macro_gru__fold_12__seed42,bear_high_vol,fold_12,42,base_macro_gru,negative_control_gru,True,checkpoint_robust_score,best_model,4,-0.004514922977393948,0.01306466558724373,0.20739513663642326,,-0.013508837693331666,0.5,0.5,-0.002039921100408275,True
base_macro_gru__fold_12__seed42,unknown,fold_12,42,base_macro_gru,negative_control_gru,True,checkpoint_robust_score,best_model,59,0.0006622047863493083,0.006604023909704157,0.10483562950441007,1.5917833178366694,-0.030753842216768468,9.94915254237288,0.5254237288135594,0.0005890562358164543,False
base_macro_gru__fold_12__seed999,bear_high_vol,fold_12,999,base_macro_gru,negative_control_gru,True,checkpoint_robust_score,checkpoint,4,-0.004857144789987139,0.017647088703392853,0.28013884844084863,,-0.02033546628124039,4.0,0.5,-0.0023821429130014664,True
