regime,n_days,mean_return,volatility,sharpe,run_key,feature_set,fold_id,seed,regime_mean_return
0.0,63,1.6996731744230626e-05,0.007665122432000142,0.035200318608122,base__fold_12__seed123,base,fold_12,123,1.6996731744230626e-05
0.0,63,0.00030764424738502803,0.007775135795528072,0.6281177787237363,base__fold_12__seed999,base,fold_12,999,0.00030764424738502803
0.0,62,-0.0005803623775154428,0.01238608640428173,-0.7438158290288898,base__fold_13__seed42,base,fold_13,42,-0.0005803623775154428
0.0,62,-0.00030534451488774126,0.010596175364238512,-0.4574474975095958,base__fold_13__seed123,base,fold_13,123,-0.00030534451488774126
0.0,62,-0.0001735207959447192,0.012626703759749485,-0.2181533116336392,base__fold_13__seed999,base,fold_13,999,-0.0001735207959447192
0.0,64,-0.0006896717844460717,0.010457892331989951,-1.0468840010835578,base__fold_14__seed42,base,fold_14,42,-0.0006896717844460717
0.0,64,-0.0008579988493068198,0.01071078700712648,-1.271644135357208,base__fold_14__seed123,base,fold_14,123,-0.0008579988493068198
0.0,64,-0.0003943699408461322,0.011936360136055212,-0.5244839010276121,base__fold_14__seed999,base,fold_14,999,-0.0003943699408461322
0.0,45,0.001728707007539391,0.009388956374569334,2.922835285952865,base_macro__fold_01__seed42,base_macro,fold_01,42,0.001728707007539391
1.0,17,0.002072219536819118,0.0031678032763606478,10.384314450204503,base_macro__fold_01__seed42,base_macro,fold_01,42,0.002072219536819118
0.0,45,0.0006336031477567389,0.011747926775926489,0.8561628230304522,base_macro__fold_01__seed123,base_macro,fold_01,123,0.0006336031477567389
1.0,17,0.0017838612876004084,0.0042776045573122085,6.620041582420182,base_macro__fold_01__seed123,base_macro,fold_01,123,0.0017838612876004084
0.0,45,0.00127834778636797,0.011034013761023096,1.8391441618789337,base_macro__fold_01__seed999,base_macro,fold_01,999,0.00127834778636797
1.0,17,0.0011391887350296517,0.003048810693479925,5.931513089416208,base_macro__fold_01__seed999,base_macro,fold_01,999,0.0011391887350296517
0.0,3,-7.13013052856537e-05,0.00047828559725932344,-2.366521463591376,base_macro__fold_02__seed42,base_macro,fold_02,42,-7.13013052856537e-05
1.0,61,0.0004745116721344618,0.0057793709649262,1.30336663240779,base_macro__fold_02__seed42,base_macro,fold_02,42,0.0004745116721344618
0.0,3,0.00010381674091401265,0.0003315784958855722,4.970285138367206,base_macro__fold_02__seed123,base_macro,fold_02,123,0.00010381674091401265
1.0,61,0.0003417938377726528,0.005992913058165702,0.9053708795277409,base_macro__fold_02__seed123,base_macro,fold_02,123,0.0003417938377726528
0.0,3,-1.1678769443190795e-05,0.000400211962921028,-0.4632413185316049,base_macro__fold_02__seed999,base_macro,fold_02,999,-1.1678769443190795e-05
1.0,61,1.3346645498646939e-05,0.0062124481698501415,0.034104337479449354,base_macro__fold_02__seed999,base_macro,fold_02,999,1.3346645498646939e-05
1.0,62,0.0006034033374976021,0.005551343176637397,1.7254798925099577,base_macro__fold_03__seed42,base_macro,fold_03,42,0.0006034033374976021
1.0,62,0.0008093297300252287,0.005326689309969587,2.4119505415381837,base_macro__fold_03__seed123,base_macro,fold_03,123,0.0008093297300252287
1.0,62,0.0006498741692378586,0.005325351358369074,1.9372304130723004,base_macro__fold_03__seed999,base_macro,fold_03,999,0.0006498741692378586
1.0,64,0.0006252780787744019,0.004234795095406165,2.3439107575597866,base_macro__fold_04__seed42,base_macro,fold_04,42,0.0006252780787744019
1.0,64,0.00116547876415341,0.004202358403988679,4.4026234868735346,base_macro__fold_04__seed123,base_macro,fold_04,123,0.00116547876415341
1.0,64,0.0012256596184349877,0.004069215418365967,4.781448327002755,base_macro__fold_04__seed999,base_macro,fold_04,999,0.0012256596184349877
0.0,40,-0.001656582974105919,0.016839387950177566,-1.5616624268990007,base_macro__fold_05__seed42,base_macro,fold_05,42,-0.001656582974105919
1.0,21,0.001141176359601986,0.005534258569996139,3.273358638436344,base_macro__fold_05__seed42,base_macro,fold_05,42,0.001141176359601986
0.0,40,-0.0011784976178597362,0.017143276081354287,-1.091277397415364,base_macro__fold_05__seed123,base_macro,fold_05,123,-0.0011784976178597362
1.0,21,0.0018446091241371182,0.007306797998424756,4.0075368250001935,base_macro__fold_05__seed123,base_macro,fold_05,123,0.0018446091241371182
0.0,40,-0.0016469210602751499,0.016692883109905958,-1.5661800992988841,base_macro__fold_05__seed999,base_macro,fold_05,999,-0.0016469210602751499
1.0,21,0.0021798090180116616,0.006732817468443508,5.139511885749702,base_macro__fold_05__seed999,base_macro,fold_05,999,0.0021798090180116616
1.0,64,0.001093746171668207,0.0045416494115560506,3.822990423214866,base_macro__fold_06__seed42,base_macro,fold_06,42,0.001093746171668207
1.0,64,0.0011909744188403504,0.0038598071742054997,4.89820654951218,base_macro__fold_06__seed123,base_macro,fold_06,123,0.0011909744188403504
1.0,64,0.001397358074345165,0.004004794798101533,5.538953395032373,base_macro__fold_06__seed999,base_macro,fold_06,999,0.001397358074345165
0.0,25,0.000545483513501539,0.006159212406529075,1.4059074041488846,base_macro__fold_07__seed42,base_macro,fold_07,42,0.000545483513501539
1.0,37,0.002530870189880645,0.007274984992310036,5.5225294320928615,base_macro__fold_07__seed42,base_macro,fold_07,42,0.002530870189880645
0.0,25,0.001522669232536722,0.005679619074887058,4.255853146329385,base_macro__fold_07__seed123,base_macro,fold_07,123,0.001522669232536722
1.0,37,0.001220217078603446,0.007743932458294322,2.5013577684608763,base_macro__fold_07__seed123,base_macro,fold_07,123,0.001220217078603446
0.0,25,0.0019474165669262833,0.006706305095680174,4.609733552193734,base_macro__fold_07__seed999,base_macro,fold_07,999,0.0019474165669262833
1.0,37,0.0012425818605688423,0.008092404552520213,2.437517228928884,base_macro__fold_07__seed999,base_macro,fold_07,999,0.0012425818605688423
0.0,8,0.0018209752577037358,0.01609991702193281,1.7954804371684092,base_macro__fold_08__seed42,base_macro,fold_08,42,0.0018209752577037358
1.0,56,-0.0008782882174431993,0.009537912813185705,-1.4617866078082484,base_macro__fold_08__seed42,base_macro,fold_08,42,-0.0008782882174431993
0.0,8,0.0019477290388932034,0.013834242969464276,2.2349788143629037,base_macro__fold_08__seed123,base_macro,fold_08,123,0.0019477290388932034
1.0,56,-0.00105462454104166,0.00804456458987611,-2.081112704834285,base_macro__fold_08__seed123,base_macro,fold_08,123,-0.00105462454104166
0.0,8,0.002011253721658182,0.015480033899159126,2.062506014763853,base_macro__fold_08__seed999,base_macro,fold_08,999,0.002011253721658182
1.0,56,-0.0008473271428920562,0.008855908105569587,-1.5188618981699002,base_macro__fold_08__seed999,base_macro,fold_08,999,-0.0008473271428920562
0.0,39,-0.004855779446144286,0.04534940767072338,-1.6997599963146517,base_macro__fold_09__seed42,base_macro,fold_09,42,-0.004855779446144286
1.0,24,0.0007460941949384523,0.007744929938009644,1.5292427770702701,base_macro__fold_09__seed42,base_macro,fold_09,42,0.0007460941949384523
0.0,39,-0.005379568489337226,0.048297690908321624,-1.768159112696636,base_macro__fold_09__seed123,base_macro,fold_09,123,-0.005379568489337226
1.0,24,0.00016000204281223693,0.009896033987639654,0.25666379990543536,base_macro__fold_09__seed123,base_macro,fold_09,123,0.00016000204281223693
0.0,39,-0.005096100014106277,0.04642142188375046,-1.7426885364350646,base_macro__fold_09__seed999,base_macro,fold_09,999,-0.005096100014106277
1.0,24,0.0007267339953183674,0.008516779202811606,1.354566585645917,base_macro__fold_09__seed999,base_macro,fold_09,999,0.0007267339953183674
0.0,64,0.0010255990858157992,0.011700108572993863,1.3915153567995286,base_macro__fold_10__seed42,base_macro,fold_10,42,0.0010255990858157992
0.0,64,0.0012190920310079408,0.010491913706576312,1.8445144115087244,base_macro__fold_10__seed123,base_macro,fold_10,123,0.0012190920310079408
0.0,64,0.0013387997687728855,0.011731586090629121,1.8115868814941534,base_macro__fold_10__seed999,base_macro,fold_10,999,0.0013387997687728855
0.0,62,0.001244360013725997,0.009063479051038877,2.1794724426761096,base_macro__fold_11__seed42,base_macro,fold_11,42,0.001244360013725997
0.0,62,0.0018335379516277136,0.01114996754771199,2.6104571615912007,base_macro__fold_11__seed123,base_macro,fold_11,123,0.0018335379516277136
0.0,62,0.0017051967520365337,0.010059711017458289,2.6908485946529512,base_macro__fold_11__seed999,base_macro,fold_11,999,0.0017051967520365337
0.0,63,-9.205595870523431e-05,0.007936922615574793,-0.18411960294868748,base_macro__fold_12__seed42,base_macro,fold_12,42,-9.205595870523431e-05
0.0,63,0.00011422291900781762,0.008509667666239342,0.21307913510007448,base_macro__fold_12__seed123,base_macro,fold_12,123,0.00011422291900781762
0.0,63,-0.0001877744792635877,0.006801440020473873,-0.43826416747095953,base_macro__fold_12__seed999,base_macro,fold_12,999,-0.0001877744792635877
0.0,62,-0.0014695926219957182,0.010613048740195462,-2.1981487326917213,base_macro__fold_13__seed42,base_macro,fold_13,42,-0.0014695926219957182
0.0,62,0.000420152060732974,0.011587720691602129,0.575584048899126,base_macro__fold_13__seed123,base_macro,fold_13,123,0.000420152060732974
0.0,62,-6.413597911239074e-05,0.010436322777297854,-0.09755611499031511,base_macro__fold_13__seed999,base_macro,fold_13,999,-6.413597911239074e-05
0.0,64,-0.0005315520429453741,0.011367729773238635,-0.7422877967239638,base_macro__fold_14__seed42,base_macro,fold_14,42,-0.0005315520429453741
0.0,64,-0.000568764405682487,0.012080065376750425,-0.7474177291709878,base_macro__fold_14__seed123,base_macro,fold_14,123,-0.000568764405682487
0.0,64,-0.0012626534457198593,0.011303921161324122,-1.773190185117438,base_macro__fold_14__seed999,base_macro,fold_14,999,-0.0012626534457198593
0.0,45,0.0012455616233207382,0.013997325805186738,1.41260395468888,base_macro_exogenous_plus__fold_01__seed42,base_macro_exogenous_plus,fold_01,42,0.0012455616233207382
1.0,17,0.002393642106869353,0.004271253166860464,8.896192515496317,base_macro_exogenous_plus__fold_01__seed42,base_macro_exogenous_plus,fold_01,42,0.002393642106869353
0.0,45,0.0006706852015072003,0.012681419666801533,0.8395588023214651,base_macro_exogenous_plus__fold_01__seed123,base_macro_exogenous_plus,fold_01,123,0.0006706852015072003
