primitive_id,direction_name,intervention_name,alpha,is_control,rows,ood_pass_rate,clipped_action_shift_l1_mean,action_mean_shift_l1_mean,policy_kl_mean,bad_primitive_probability_delta_mean,good_primitive_probability_delta_mean,relative_turnover_shift_mean,relative_hhi_shift_mean,beats_min_action_gate,beats_bad_probability_gate,passes_one_step_gate
primitive_00,centroid_to_good__primitive_02_to_primitive_00,additive_steering,-0.5,False,405,0.9506172839506173,2.593228302767247,62.66102528984164,142.6520728982525,-0.0003242485174696457,0.0002446367046419926,1.0582697582250797,-0.028946411423604587,True,False,False
primitive_00,centroid_to_good__primitive_02_to_primitive_00,additive_steering,-0.25,False,405,0.9728395061728395,1.7249167709806819,31.330512925136237,35.663018008367516,-0.00016277011625092454,0.00012249453216919316,0.5544007271633029,-0.017267505214146925,True,False,False
primitive_00,centroid_to_good__primitive_02_to_primitive_00,additive_steering,0.25,False,405,0.9753086419753086,7.0527052356137165,31.330512244613082,35.66301586245313,0.00016406370582536703,-0.0001228468933982629,3.775011581275131,-0.007684684524081867,True,False,False
primitive_00,centroid_to_good__primitive_02_to_primitive_00,additive_steering,0.5,False,405,0.9753086419753086,16.349161022386433,62.66102498843346,142.65206840362077,0.000329422864436783,-0.00024604614501285815,18.097560021820048,0.03320675150157072,True,False,False
primitive_00,centroid_to_good__primitive_02_to_primitive_00,additive_steering,1.0,False,405,0.05185185185185185,34.15239322450426,125.32204972255377,570.6082788255479,0.0006640349355033348,-0.0004935016879458082,64.07519577815604,0.01686773575547718,True,False,False
primitive_00,centroid_to_good__primitive_02_to_primitive_00,orthogonal_same_norm_control,0.5,True,405,0.5530864197530864,17.20943109591802,172.6233804302451,1229.5102903012876,-8.307478137037114e-05,1.0171753249899325e-05,16.734957591781253,-0.07627541928765225,True,False,False
primitive_00,centroid_to_good__primitive_02_to_primitive_00,projection_removal,,False,405,0.9703703703703703,1.0176633304467908,28.657454037390373,325.6436225988026,-0.00024027236676072038,0.00016700235112288684,0.23763895507113825,-0.008222202954820032,True,False,False
primitive_00,centroid_to_good__primitive_02_to_primitive_00,random_same_norm_control,0.5,True,405,0.5530864197530864,17.03045772814456,168.50186703528888,1166.0811820512936,-9.338179664728469e-05,1.5538558780157388e-05,16.417224488139503,-0.07569640641491834,True,False,False
primitive_00,centroid_to_good__primitive_04_to_primitive_00,additive_steering,-1.0,False,405,0.014814814814814815,5.670602492785748,1262.044743366006,59028.29621280623,0.0034531542879292667,-0.0004492846896478889,2.8775328337805584,-0.07336551207527468,True,False,False
primitive_00,centroid_to_good__primitive_04_to_primitive_00,additive_steering,-0.5,False,405,0.03950617283950617,5.259849968368624,631.0223704962083,14757.07405071494,0.0016792851518103043,-0.00020763034478473287,2.696261223915922,-0.07509109827533746,True,False,False
primitive_00,centroid_to_good__primitive_04_to_primitive_00,additive_steering,-0.25,False,405,0.6864197530864198,4.769651548803589,315.51118865778415,3689.268557371917,0.0008278453985717403,-9.958178871850891e-05,2.401256816370027,-0.0717413097128217,True,False,False
primitive_00,centroid_to_good__primitive_04_to_primitive_00,additive_steering,0.25,False,405,0.6839506172839506,46.711532576290175,315.5111825825256,3689.268448196223,-0.0008043087528481385,9.115626882963776e-05,76.63241937590622,-0.13806383061074834,True,False,False
primitive_00,centroid_to_good__primitive_04_to_primitive_00,additive_steering,0.5,False,405,0.044444444444444446,49.6396304283613,631.0223639405804,14757.07400610653,-0.0015851432947609628,0.00017392982544970294,77.71998455984621,-0.1697526691973792,True,False,False
primitive_00,centroid_to_good__primitive_04_to_primitive_00,additive_steering,1.0,False,405,0.007407407407407408,50.557856957706406,1262.0447322139034,59028.29642364125,-0.0030766624686602772,0.0003145075755683021,78.06153816058551,-0.17872489381918238,True,False,False
primitive_00,centroid_to_good__primitive_04_to_primitive_00,orthogonal_same_norm_control,0.5,True,405,0.4617283950617284,24.04851241700443,147.2494753331314,763.823703643422,0.0001142776098974229,-5.388212866958749e-05,27.924045147177537,0.00019369196394737894,True,False,False
primitive_00,centroid_to_good__primitive_04_to_primitive_00,projection_removal,,False,405,0.01728395061728395,5.882989473548936,1618.0459987404906,99181.18623892701,0.004350166516588612,-0.0005783132924966928,2.9656789414184477,-0.07254174729343246,True,False,False
primitive_00,centroid_to_good__primitive_04_to_primitive_00,random_same_norm_control,0.5,True,405,0.4617283950617284,22.70851975546943,168.65241795292607,904.5283570089458,0.00018496936130038452,-6.292947572407815e-05,26.616149355729135,0.04321429134982947,True,False,False
primitive_00,centroid_to_good__primitive_05_to_primitive_00,additive_steering,-1.0,False,405,0.02962962962962963,5.622243870776376,1368.8654554955754,70256.67677107446,0.002881620230797986,-0.0002776540561731482,2.7472203812050076,-0.07809584917320424,True,False,False
