run_key,model_name,feature_set,feature_family,is_negative_control,feature_set_description,fold_id,seed,n_features,generalization_ratio,retention_ratio,selected_artifact_type,selection_rule,checkpoint_selection_rule,train_sharpe,train_return_pct,train_max_drawdown,train_turnover,validation_sharpe,validation_return_pct,validation_max_drawdown,validation_turnover,test_sharpe,test_return_pct,test_max_drawdown,test_turnover,robust_selection_score,selected_artifact_score
base_macro_breadth_internal_structure__fold_04__seed123,custom_custom,base_macro_breadth_internal_structure,market_internal_breadth,False,Baseline technical and macro features plus causal internal breadth and participation context.,fold_04,123,20,3.593331228566975,1.574585226382685,best_model,checkpoint_robust_score,checkpoint_robust_score,0.9330595885769963,170.13065857678845,-0.19732858769334416,0.4953219592735278,3.3527921577475746,7.054999881393442,-0.018230263484617537,14.285714285714286,5.279256998721055,9.650905844368761,-0.015620640858044155,14.285714285714286,3.047442947902138,3.047442947902138
base_macro_breadth_internal_structure__fold_04__seed999,custom_custom,base_macro_breadth_internal_structure,market_internal_breadth,False,Baseline technical and macro features plus causal internal breadth and participation context.,fold_04,999,20,4.028031082535945,0.970963885577964,best_model,checkpoint_robust_score,checkpoint_robust_score,1.191597398499377,207.93656944889446,-0.15465379074415542,0.4402861860209136,4.799791359024462,8.121790753095448,-0.012441361614972779,12.698412698412698,4.6604240679219275,7.8192532221015965,-0.01645597090660611,12.698412698412698,4.310569580646131,4.310569580646131
base_macro_breadth_internal_structure__fold_05__seed42,custom_custom,base_macro_breadth_internal_structure,market_internal_breadth,False,Baseline technical and macro features plus causal internal breadth and participation context.,fold_05,42,20,6.498068529318693,-0.22919080733177494,checkpoint,checkpoint_robust_score,checkpoint_robust_score,0.8287412531500934,163.2809315106943,-0.20928315637159944,1.396604938271605,5.385217456042758,9.14136671506942,-0.007609148492582207,13.209677419354838,-1.234242336407607,-6.887146791850862,-0.11433398612505052,18.458333333333332,5.4035299844748685,5.4035299844748685
base_macro_breadth_internal_structure__fold_05__seed123,custom_custom,base_macro_breadth_internal_structure,market_internal_breadth,False,Baseline technical and macro features plus causal internal breadth and participation context.,fold_05,123,20,6.243989865307533,-0.039048073058939224,checkpoint,checkpoint_robust_score,checkpoint_robust_score,0.9877760945738473,178.7561628305128,-0.1584967311326636,0.5015432098765432,6.1676639237121575,10.38304810402586,-0.006355750764602708,14.64516129032258,-0.2408353914960961,-1.8798555215993384,-0.08820509892845119,14.866666666666667,5.807205996778796,5.807205996778796
base_macro_breadth_internal_structure__fold_05__seed999,custom_custom,base_macro_breadth_internal_structure,market_internal_breadth,False,Baseline technical and macro features plus causal internal breadth and participation context.,fold_05,999,20,6.303050275741875,-0.04609936025732689,checkpoint,checkpoint_robust_score,checkpoint_robust_score,1.0105094573400235,212.89496863460298,-0.23050125870255322,0.7554012345679012,6.3692919137268085,11.515810752954515,-0.006944772314366077,11.338709677419354,-0.29362028251497113,-2.2845172434425187,-0.09332321778355879,11.941666666666666,6.132155689398687,6.132155689398687
base_macro_breadth_internal_structure__fold_06__seed42,custom_custom,base_macro_breadth_internal_structure,market_internal_breadth,False,Baseline technical and macro features plus causal internal breadth and participation context.,fold_06,42,20,1.0607411272420695,3.8238702167403185,best_model,checkpoint_robust_score,checkpoint_robust_score,1.038598963492785,223.43816098692616,-0.15764028420157794,0.4108264862252296,1.1016846352877818,3.466578388476149,-0.046386785236249284,14.063492063492063,4.212699065117369,8.228828086711527,-0.021075496963195772,13.698412698412698,0.7430507629960289,0.7430507629960289
base_macro_breadth_internal_structure__fold_06__seed123,custom_custom,base_macro_breadth_internal_structure,market_internal_breadth,False,Baseline technical and macro features plus causal internal breadth and participation context.,fold_06,123,20,1.1298944268035647,3.544538028429694,checkpoint,checkpoint_robust_score,checkpoint_robust_score,1.112200477327188,253.86982224232244,-0.18097538156771598,0.43499275012083133,1.2566691208202543,3.745073115716546,-0.04291090977212386,14.285714285714286,4.454311487900701,8.58073001756441,-0.01322194503861085,14.285714285714286,0.8829913397160019,0.8829913397160019
base_macro_breadth_internal_structure__fold_06__seed999,custom_custom,base_macro_breadth_internal_structure,market_internal_breadth,False,Baseline technical and macro features plus causal internal breadth and participation context.,fold_06,999,20,1.8561178737796398,1.9010455047176744,checkpoint,checkpoint_robust_score,checkpoint_robust_score,1.1541428562910219,296.6723159210149,-0.17337886626280952,0.3141614306428226,2.142225184456852,6.442550713542161,-0.03384407132273293,10.317460317460318,4.072467557004689,8.6222310959442,-0.021531500357391153,10.317460317460318,1.926780202416396,1.926780202416396
base_macro_breadth_internal_structure__fold_07__seed42,custom_custom,base_macro_breadth_internal_structure,market_internal_breadth,False,Baseline technical and macro features plus causal internal breadth and participation context.,fold_07,42,20,-1.13188162992412,-3.9701014744584198,checkpoint,checkpoint_robust_score,checkpoint_robust_score,1.0012466450388604,225.72210377788804,-0.17082485932327185,0.1598360655737705,-1.133292684542642,-7.110769460091582,-0.14583574808035793,5.754098360655738,4.499286957895684,12.005580309103369,-0.023685144633492805,5.737704918032787,-2.5788285132104325,-2.5788285132104325
base_macro_breadth_internal_structure__fold_07__seed123,custom_custom,base_macro_breadth_internal_structure,market_internal_breadth,False,Baseline technical and macro features plus causal internal breadth and participation context.,fold_07,123,20,-1.7848251781706193,-2.3812653425157926,checkpoint,checkpoint_robust_score,checkpoint_robust_score,1.0214416196663523,237.52683354117772,-0.18325556859816772,0.39025500910746813,-1.823094720811883,-11.021694337580135,-0.15936470629999566,11.475409836065573,4.341272274792842,11.590307035005143,-0.022937848261489147,11.868852459016393,-4.03307821477226,-4.03307821477226
base_macro_breadth_internal_structure__fold_07__seed999,custom_custom,base_macro_breadth_internal_structure,market_internal_breadth,False,Baseline technical and macro features plus causal internal breadth and participation context.,fold_07,999,20,-0.8511917067472495,-2.111931225784594,best_model,checkpoint_robust_score,checkpoint_robust_score,1.3773093763290973,405.58021492049346,-0.15848611253998546,0.4335154826958106,-1.1723543187565542,-7.305624915330133,-0.14006135791319585,14.688524590163935,2.475931693465392,6.716183509285556,-0.043844242316058324,12.024590163934427,-3.111086074697586,-3.111086074697586
base_macro_breadth_internal_structure__fold_08__seed42,custom_custom,base_macro_breadth_internal_structure,market_internal_breadth,False,Baseline technical and macro features plus causal internal breadth and participation context.,fold_08,42,20,1.903513889393401,-0.9627444451504438,checkpoint,checkpoint_robust_score,checkpoint_robust_score,0.8253814872933251,205.9791867198698,-0.2502633036116678,0.28029322984044847,1.5711251251110272,4.716765885821528,-0.06291461077395377,10.317460317460318,-1.5125919868369375,-6.3558590268798625,-0.08322328413435276,10.317460317460318,1.4541802362121103,1.4541802362121103
base_macro_breadth_internal_structure__fold_08__seed123,custom_custom,base_macro_breadth_internal_structure,market_internal_breadth,False,Baseline technical and macro features plus causal internal breadth and participation context.,fold_08,123,20,0.9775616362603188,-0.6432688526905977,best_model,checkpoint_robust_score,checkpoint_robust_score,1.0412849470782437,272.6168548106352,-0.1827112500372432,0.3682621819749892,1.0179202166790473,3.046919217114241,-0.08682055909934516,11.904761904761905,-0.6547963699136954,-2.669067575471884,-0.07162239185693853,11.904761904761905,0.7479689825824102,0.7479689825824102
base_macro_breadth_internal_structure__fold_08__seed999,custom_custom,base_macro_breadth_internal_structure,market_internal_breadth,False,Baseline technical and macro features plus causal internal breadth and participation context.,fold_08,999,20,1.837690250997044,-0.5062242268775543,best_model,checkpoint_robust_score,checkpoint_robust_score,0.8328506085889983,240.8730141966137,-0.28134865319744673,0.39542906425183266,1.5305214439409571,5.3188504345262455,-0.05907689664614357,12.158730158730158,-0.7747870346785292,-3.4100190205291536,-0.0842833865811079,12.412698412698413,1.3156840418156146,1.3156840418156146
base_macro_breadth_internal_structure__fold_09__seed42,custom_custom,base_macro_breadth_internal_structure,market_internal_breadth,False,Baseline technical and macro features plus causal internal breadth and participation context.,fold_09,42,20,5.314369646131748,-0.21201805767915125,best_model,checkpoint_robust_score,checkpoint_robust_score,0.9853881420070438,262.58163956184495,-0.1828395887678067,0.45279934613812833,5.236716831540394,11.204015510201671,-0.01537258693944743,13.35483870967742,-1.1102785312389134,-18.622470562131888,-0.2818485589851557,13.016129032258064,4.9395019721720175,4.9395019721720175
base_macro_breadth_internal_structure__fold_09__seed123,custom_custom,base_macro_breadth_internal_structure,market_internal_breadth,False,Baseline technical and macro features plus causal internal breadth and participation context.,fold_09,123,20,5.697880057043185,-0.32803439104625387,best_model,checkpoint_robust_score,checkpoint_robust_score,0.8568892204570917,250.02631596672572,-0.21461970274548603,0.28606456885982834,4.882452000337744,11.798956878531698,-0.019171287003491355,11.290322580645162,-1.6016121687433558,-24.232033392455666,-0.31712507135245616,11.290322580645162,4.901329789612023,4.901329789612023
base_macro_breadth_internal_structure__fold_09__seed999,custom_custom,base_macro_breadth_internal_structure,market_internal_breadth,False,Baseline technical and macro features plus causal internal breadth and participation context.,fold_09,999,20,3.525949918857737,-0.5095748389662862,checkpoint,checkpoint_robust_score,checkpoint_robust_score,1.0327092886729534,357.30456253089767,-0.21142941870379195,0.9317531671434409,3.641281232600031,9.968682468518875,-0.02671133990983654,10.258064516129032,-1.855505297733121,-31.634767633094395,-0.4069517029026961,12.112903225806452,3.446789164028327,3.446789164028327
base_macro_breadth_internal_structure__fold_10__seed42,custom_custom,base_macro_breadth_internal_structure,market_internal_breadth,False,Baseline technical and macro features plus causal internal breadth and participation context.,fold_10,42,20,3.2031884517421294,1.2854061093854594,checkpoint,checkpoint_robust_score,checkpoint_robust_score,0.6207513433406643,152.75299113310172,-0.3135084056828129,0.25048619214313494,1.9883835343922294,13.080459031072266,-0.06750819184747425,9.67741935483871,2.5558803429092243,10.47106706648595,-0.07130378240553603,9.53968253968254,2.140206438707244,2.140206438707244
base_macro_breadth_internal_structure__fold_10__seed123,custom_custom,base_macro_breadth_internal_structure,market_internal_breadth,False,Baseline technical and macro features plus causal internal breadth and participation context.,fold_10,123,20,4.012324152956723,0.3273058312063509,checkpoint,checkpoint_robust_score,checkpoint_robust_score,0.5211870627467623,117.98835923633729,-0.33799631737965374,0.2994943601711396,2.0911714400674057,14.305086262501177,-0.06574843338224112,12.53225806451613,0.684452606386244,2.4830936498023926,-0.08705358320328516,12.571428571428571,2.312802614976003,2.312802614976003
base_macro_breadth_internal_structure__fold_10__seed999,custom_custom,base_macro_breadth_internal_structure,market_internal_breadth,False,Baseline technical and macro features plus causal internal breadth and participation context.,fold_10,999,20,3.164986926427702,0.5498288377167591,checkpoint,checkpoint_robust_score,checkpoint_robust_score,0.7875703834653842,237.7028970237795,-0.30753273250902013,0.3990665110851809,2.492649967309593,16.622246141992214,-0.0613647593345904,14.225806451612904,1.370530834360551,5.319004774796676,-0.08769034768759909,13.476190476190476,2.2861907386997116,2.2861907386997116
base_macro_breadth_internal_structure__fold_11__seed42,custom_custom,base_macro_breadth_internal_structure,market_internal_breadth,False,Baseline technical and macro features plus causal internal breadth and participation context.,fold_11,42,20,3.849397537005771,0.7928356192569062,checkpoint,checkpoint_robust_score,checkpoint_robust_score,0.7200018635044938,261.9107478155747,-0.3996756536602587,0.2962962962962963,2.771573400013764,13.165567296632364,-0.08810950141337459,12.919354838709678,2.1974021129158814,7.651994708084819,-0.04336419327577612,13.114754098360656,2.746033808110718,2.746033808110718
base_macro_breadth_internal_structure__fold_11__seed123,custom_custom,base_macro_breadth_internal_structure,market_internal_breadth,False,Baseline technical and macro features plus causal internal breadth and participation context.,fold_11,123,20,3.872030722384475,0.7424597481020258,checkpoint,checkpoint_robust_score,checkpoint_robust_score,0.7514021485280998,250.6166204992223,-0.3624474234855313,0.3637037037037037,2.909452203966505,12.790991878621671,-0.07074258567724978,15.07258064516129,2.160151150471855,8.37926415056267,-0.0463417603929851,16.557377049180328,2.7486421465718403,2.7486421465718403
base_macro_breadth_internal_structure__fold_11__seed999,custom_custom,base_macro_breadth_internal_structure,market_internal_breadth,False,Baseline technical and macro features plus causal internal breadth and participation context.,fold_11,999,20,4.250193856422219,0.8033299541624962,checkpoint,checkpoint_robust_score,checkpoint_robust_score,0.7295548710736324,249.1494368766346,-0.325264923028348,0.2222222222222222,3.100749630960056,12.304447852413514,-0.07439269099654144,10.193548387096774,2.490925058908519,7.837983799176773,-0.04586610527760748,10.426229508196721,3.241282626293091,3.241282626293091
base_macro_breadth_internal_structure__fold_12__seed42,custom_custom,base_macro_breadth_internal_structure,market_internal_breadth,False,Baseline technical and macro features plus causal internal breadth and participation context.,fold_12,42,20,2.4006872720652326,0.12281567210511399,checkpoint,checkpoint_robust_score,checkpoint_robust_score,0.9270713295024594,436.06072033759443,-0.3422023313692997,0.2479631597591215,2.2256083410331478,6.475450455796072,-0.04357576687653175,11.11111111111111,0.27333958424673377,0.6112774432994739,-0.050367306594408245,11.290322580645162,2.051447799977029,2.051447799977029
base_macro_breadth_internal_structure__fold_12__seed123,custom_custom,base_macro_breadth_internal_structure,market_internal_breadth,False,Baseline technical and macro features plus causal internal breadth and participation context.,fold_12,123,20,3.3570667120501767,0.09193553756551107,best_model,checkpoint_robust_score,checkpoint_robust_score,0.8049272942793272,306.73054991589936,-0.315439875395103,0.28338646829613884,2.702194625245746,7.040345345570009,-0.032719513083664276,12.698412698412698,0.24842771547860235,0.5567738331298644,-0.039074359416408244,12.903225806451612,2.5749318223960596,2.5749318223960596
base_macro_breadth_internal_structure__fold_12__seed999,custom_custom,base_macro_breadth_internal_structure,market_internal_breadth,False,Baseline technical and macro features plus causal internal breadth and participation context.,fold_12,999,20,2.557931920684953,0.0976546388409463,checkpoint,checkpoint_robust_score,checkpoint_robust_score,0.9540950207916065,437.68895461452973,-0.32780597029741265,0.28338646829613884,2.4405101090494243,6.634995602812599,-0.03628467787958978,12.698412698412698,0.2383271332869,0.5017074167861901,-0.048355175705163456,12.903225806451612,2.1769918976903275,2.1769918976903275
base_macro_breadth_internal_structure__fold_13__seed42,custom_custom,base_macro_breadth_internal_structure,market_internal_breadth,False,Baseline technical and macro features plus causal internal breadth and participation context.,fold_13,42,20,3.8269701488585146,0.026934279614258247,checkpoint,checkpoint_robust_score,checkpoint_robust_score,0.9182046742192554,471.60605435951686,-0.38360946515087224,0.4271680216802168,3.513941878779448,12.45377850691909,-0.06139966533714836,14.258064516129032,0.09464549311129761,0.031099862118932897,-0.08079169738558556,13.721311475409836,3.225830216943694,3.225830216943694
base_macro_breadth_internal_structure__fold_13__seed123,custom_custom,base_macro_breadth_internal_structure,market_internal_breadth,False,Baseline technical and macro features plus causal internal breadth and participation context.,fold_13,123,20,4.061975554350979,0.07392148850300972,checkpoint,checkpoint_robust_score,checkpoint_robust_score,0.9359554995275701,414.1405305832704,-0.3192111992165786,0.38922764227642276,3.801828359041349,12.592042460208885,-0.0442496690568428,11.290322580645162,0.2810368113332914,0.8476054890182327,-0.07656314453162416,11.475409836065573,3.6515232062964262,3.6515232062964262
base_macro_breadth_internal_structure__fold_13__seed999,custom_custom,base_macro_breadth_internal_structure,market_internal_breadth,False,Baseline technical and macro features plus causal internal breadth and participation context.,fold_13,999,20,4.66926076042209,-0.1605267017097637,checkpoint,checkpoint_robust_score,checkpoint_robust_score,0.8588871562248243,392.8376337745883,-0.34834941307627343,0.22018970189701897,4.0103680961910895,12.700521983459456,-0.04356772560371924,11.403225806451612,-0.6437711631236199,-2.83179812196499,-0.08676903599488794,11.62295081967213,3.967072970467676,3.967072970467676
base_macro_breadth_internal_structure__fold_14__seed42,custom_custom,base_macro_breadth_internal_structure,market_internal_breadth,False,Baseline technical and macro features plus causal internal breadth and participation context.,fold_14,42,20,-1.7311886444321885,0.6396134990175965,checkpoint,checkpoint_robust_score,checkpoint_robust_score,0.8512230789320798,433.94486223653644,-0.39235167771891855,0.24382314694408322,-1.473627728125821,-8.526009789179623,-0.13379720444471466,12.096774193548388,-0.9425521874359076,-4.609363630758246,-0.1460719873397267,11.904761904761905,-3.5114599662692436,-3.5114599662692436
base_macro_breadth_internal_structure__fold_14__seed123,custom_custom,base_macro_breadth_internal_structure,market_internal_breadth,False,Baseline technical and macro features plus causal internal breadth and participation context.,fold_14,123,20,-1.7689615932954232,0.5134020993359835,checkpoint,checkpoint_robust_score,checkpoint_robust_score,0.8346671271518904,342.76385786591106,-0.33674049438862574,0.3819895968790637,-1.4764940911179216,-7.588397132926961,-0.13959123288072894,14.241935483870968,-0.7580351660371158,-3.5499738606967535,-0.12898910371677397,13.746031746031745,-3.630592972647375,-3.630592972647375
base_macro_breadth_internal_structure__fold_14__seed999,custom_custom,base_macro_breadth_internal_structure,market_internal_breadth,False,Baseline technical and macro features plus causal internal breadth and participation context.,fold_14,999,20,-1.257944365480691,0.4340525881738596,best_model,checkpoint_robust_score,checkpoint_robust_score,0.9218228692830953,436.50754431013866,-0.34569763090228056,0.19505851755526657,-1.1596018843859133,-6.217462275999475,-0.13264314308077685,9.67741935483871,-0.5033281991689904,-2.4233853072854528,-0.11823935736220359,9.53968253968254,-2.825516358138321,-2.825516358138321
