run_key,model_name,feature_set,fold_id,seed,n_features,generalization_ratio,retention_ratio,selected_artifact_type,train_sharpe,train_return_pct,train_max_drawdown,train_turnover,validation_sharpe,validation_return_pct,validation_max_drawdown,validation_turnover,test_sharpe,test_return_pct,test_max_drawdown,test_turnover,regime,regime_mean_return,n_days,regime_sharpe,feature_family,is_negative_control,feature_set_description,selection_rule
base__fold_07__seed999,custom_custom,base,fold_07,999,9,-1.3547825446501218,-2.0800066314017025,best_model,1.0017798464541487,231.60917614699216,-0.1825438661255568,0.3397085610200364,-1.35719384955836,-8.784467308291255,-0.1468902026090655,8.344262295081966,2.822972207178993,7.343054461096976,-0.0311546935330049,8.672131147540984,0.0,0.0010797064222049,25,2.8990053418152573,technical_base,False,"Prices, returns, and baseline technical risk features.",checkpoint_generalization_score
base__fold_08__seed42,custom_custom,base,fold_08,42,9,1.658061560785954,-0.9160835107181968,checkpoint,0.8089784590656178,170.63065979745687,-0.1896524490228617,0.5325571366968521,1.3413360864805544,3.625589629139703,-0.0643929705609696,9.523809523809524,-1.2287758711561132,-4.779840890838605,-0.0699848261443447,9.523809523809524,0.0,0.0015171448656659,8,1.7325042156198172,technical_base,False,"Prices, returns, and baseline technical risk features.",checkpoint_generalization_score
base__fold_08__seed123,custom_custom,base,fold_08,123,9,0.9400034420511604,-0.276374610869024,checkpoint,1.0701884013332623,283.9037210631246,-0.1843617031209135,0.3880983182406209,1.0059807808964951,2.943635628739916,-0.0602466733452139,14.285714285714286,-0.2780275468619858,-1.3490636209365747,-0.0701450621856868,14.285714285714286,0.0,0.0032231948470339,8,3.4698571908851688,technical_base,False,"Prices, returns, and baseline technical risk features.",checkpoint_generalization_score
base__fold_08__seed999,custom_custom,base,fold_08,999,9,2.1917200770793044,-0.4917576064486001,best_model,1.090815185204808,262.2050385722716,-0.1617781326908846,1.1285036653730056,2.390761541796357,5.75418904724998,-0.0334537668841791,18.666666666666668,-1.1756751733831416,-4.084407840684124,-0.0563998001969467,22.03174603174603,0.0,0.0018183397609047,8,2.2508955730531244,technical_base,False,"Prices, returns, and baseline technical risk features.",checkpoint_generalization_score
base__fold_09__seed42,custom_custom,base,fold_09,42,9,5.708452372732994,-0.2188046717936614,best_model,1.1018045209450755,331.80758606852515,-0.1481923221720676,0.3306089088680016,6.289598631876856,13.534571735330235,-0.0134579569342061,11.290322580645162,-1.3761935643616774,-22.612774126229866,-0.327881128710857,11.290322580645162,0.0,-0.0056177815036713,39,-1.8291004301863776,technical_base,False,"Prices, returns, and baseline technical risk features.",checkpoint_generalization_score
base__fold_09__seed123,custom_custom,base,fold_09,123,9,5.853042883954649,-0.1985858266791194,best_model,1.0165264762511348,283.1581812706857,-0.181792201353479,0.2656313853698406,5.949773058173199,14.760307159254848,-0.0190811787775526,10.846774193548388,-1.1815406013104772,-20.00858718322032,-0.3336319001035817,11.209677419354838,0.0,-0.0050767797244785,39,-1.6756202982971549,technical_base,False,"Prices, returns, and baseline technical risk features.",checkpoint_generalization_score
base__fold_09__seed999,custom_custom,base,fold_09,999,9,4.122182191904107,-0.2441278311433852,best_model,1.2507814265538622,384.0368114760221,-0.150378913247031,1.0277891295463832,5.155948922504746,10.162740044909292,-0.0134771092647215,17.629032258064516,-1.2587106279371578,-19.60754387799397,-0.2949880949066893,19.491935483870968,0.0,-0.0048678366515099,39,-1.7066183635559655,technical_base,False,"Prices, returns, and baseline technical risk features.",checkpoint_generalization_score
base__fold_10__seed42,custom_custom,base,fold_10,42,9,3.2866650924573486,0.5037598530427587,checkpoint,0.7573158282723333,213.823914150537,-0.3059837155784292,0.3695060287825749,2.489043496748102,18.046192975373465,-0.0620161118323575,15.32258064516129,1.253880186138858,5.558845355350095,-0.0986440406935053,15.07936507936508,0.0,0.000912591544079,64,1.2440456798980486,technical_base,False,"Prices, returns, and baseline technical risk features.",checkpoint_generalization_score
base__fold_10__seed123,custom_custom,base,fold_10,123,9,2.857297380565764,0.7871646981953933,checkpoint,0.8647372160761578,308.41345677892144,-0.3066677146982771,0.2139245429793854,2.470811382372137,17.22267371579822,-0.06175897951688,8.870967741935484,1.9449354961027052,9.801104360240153,-0.0923477387913198,8.73015873015873,0.0,0.0015408493171626,64,1.9296808645311725,technical_base,False,"Prices, returns, and baseline technical risk features.",checkpoint_generalization_score
base__fold_10__seed999,custom_custom,base,fold_10,999,9,4.067246679760212,0.494165323160927,checkpoint,0.6686767274526323,174.79741687572866,-0.3116417493983994,0.3430571761960326,2.719673199564643,19.75061397956544,-0.0639998379783743,12.096774193548388,1.343968185554974,5.912426208133659,-0.0981568896604065,11.904761904761903,0.0,0.0009627590110761,64,1.3334270958604393,technical_base,False,"Prices, returns, and baseline technical risk features.",checkpoint_generalization_score
