run_key,model_name,feature_set,fold_id,seed,n_features,generalization_ratio,retention_ratio,selected_artifact_type,train_sharpe,train_return_pct,train_max_drawdown,train_turnover,validation_sharpe,validation_return_pct,validation_max_drawdown,validation_turnover,test_sharpe,test_return_pct,test_max_drawdown,test_turnover,regime,regime_mean_return,n_days,regime_sharpe
base__fold_07__seed42,custom_custom,base,fold_07,42,9,-0.575957816005314,-5.722789328232195,checkpoint,1.1099920166211237,218.51361183994388,-0.141090020318559,0.273224043715847,-0.6393085776764367,-3.7739132170151124,-0.12902169546049147,9.836065573770492,3.6586283057740148,8.678833471817748,-0.022861779035203256,9.836065573770492,1.0,0.0019903205259251253,37,5.0788948874467135
base__fold_07__seed123,custom_custom,base,fold_07,123,9,-1.1710083637527184,-1.69469151076493,checkpoint,1.3966090500518924,431.0132021162235,-0.1558562612188904,0.273224043715847,-1.635440878503505,-10.543188977953344,-0.1631947309360291,10.229508196721312,2.7715677731578294,8.310239333262427,-0.04871447467001677,10.508196721311476,0.0,0.0025079370888190945,25,5.412237032251246
base__fold_07__seed123,custom_custom,base,fold_07,123,9,-1.1710083637527184,-1.69469151076493,checkpoint,1.3966090500518924,431.0132021162235,-0.1558562612188904,0.273224043715847,-1.635440878503505,-10.543188977953344,-0.1631947309360291,10.229508196721312,2.7715677731578294,8.310239333262427,-0.04871447467001677,10.508196721311476,1.0,0.0005120538624662669,37,1.0472274162527289
base__fold_07__seed999,custom_custom,base,fold_07,999,9,-1.3547825446501218,-2.0800066314017025,best_model,1.0017798464541487,231.60917614699218,-0.18254386612555684,0.33970856102003644,-1.35719384955836,-8.784467308291255,-0.1468902026090655,8.344262295081966,2.822972207178993,7.343054461096976,-0.03115469353300493,8.672131147540984,0.0,0.001079706422204958,25,2.8990053418152573
base__fold_07__seed999,custom_custom,base,fold_07,999,9,-1.3547825446501218,-2.0800066314017025,best_model,1.0017798464541487,231.60917614699218,-0.18254386612555684,0.33970856102003644,-1.35719384955836,-8.784467308291255,-0.1468902026090655,8.344262295081966,2.822972207178993,7.343054461096976,-0.03115469353300493,8.672131147540984,1.0,0.0012226701740000179,37,2.7284245088563734
base__fold_08__seed42,custom_custom,base,fold_08,42,9,1.6580615607859541,-0.9160835107181969,checkpoint,0.8089784590656178,170.63065979745687,-0.1896524490228617,0.5325571366968521,1.3413360864805544,3.6255896291397027,-0.0643929705609696,9.523809523809524,-1.2287758711561132,-4.779840890838605,-0.06998482614434476,9.523809523809524,0.0,0.0015171448656659814,8,1.7325042156198172
base__fold_08__seed42,custom_custom,base,fold_08,42,9,1.6580615607859541,-0.9160835107181969,checkpoint,0.8089784590656178,170.63065979745687,-0.1896524490228617,0.5325571366968521,1.3413360864805544,3.6255896291397027,-0.0643929705609696,9.523809523809524,-1.2287758711561132,-4.779840890838605,-0.06998482614434476,9.523809523809524,1.0,-0.0010410519085768835,56,-1.9005840585951623
base__fold_08__seed123,custom_custom,base,fold_08,123,9,0.9400034420511603,-0.276374610869024,checkpoint,1.0701884013332625,283.9037210631246,-0.1843617031209135,0.38809831824062097,1.0059807808964953,2.9436356287399157,-0.06024667334521394,14.285714285714286,-0.2780275468619858,-1.3490636209365747,-0.07014506218568684,14.285714285714286,0.0,0.0032231948470339417,8,3.4698571908851688
base__fold_08__seed123,custom_custom,base,fold_08,123,9,0.9400034420511603,-0.276374610869024,checkpoint,1.0701884013332625,283.9037210631246,-0.1843617031209135,0.38809831824062097,1.0059807808964953,2.9436356287399157,-0.06024667334521394,14.285714285714286,-0.2780275468619858,-1.3490636209365747,-0.07014506218568684,14.285714285714286,1.0,-0.0006508987096072351,56,-1.1871727598822372
base__fold_08__seed999,custom_custom,base,fold_08,999,9,2.1917200770793044,-0.4917576064486001,best_model,1.090815185204808,262.2050385722716,-0.1617781326908846,1.1285036653730056,2.3907615417963575,5.75418904724998,-0.033453766884179115,18.666666666666668,-1.1756751733831416,-4.084407840684124,-0.05639980019694679,22.03174603174603,0.0,0.0018183397609047441,8,2.2508955730531244
base__fold_08__seed999,custom_custom,base,fold_08,999,9,2.1917200770793044,-0.4917576064486001,best_model,1.090815185204808,262.2050385722716,-0.1617781326908846,1.1285036653730056,2.3907615417963575,5.75418904724998,-0.033453766884179115,18.666666666666668,-1.1756751733831416,-4.084407840684124,-0.05639980019694679,22.03174603174603,1.0,-0.0009643725793718135,56,-1.9977103979280095
